year,literacy
1960.0,
1961.0,
1962.0,
1963.0,
1964.0,
1965.0,
1966.0,
1967.0,
1968.0,
1969.0,
1970.0,
1971.0,
1972.0,
1973.0,
1974.0,
1975.0,
1976.0,
1977.0,30.335620880127
1978.0,30.7993507385254
1979.0,31.3404808044434
1980.0,31.9458694458008
1981.0,32.5951614379883
1982.0,33.4044914245605
1983.0,33.8584594726563
1984.0,34.8480911254883
1985.0,35.7265014648438
1986.0,36.6858291625977
1987.0,37.5367889404297
1988.0,38.5994110107422
1989.0,39.6374893188477
1990.0,40.7424697875977
1991.0,41.9388389587402
1992.0,43.1266098022461
1993.0,43.4190902709961
1994.0,44.5688095092773
1995.0,45.6531410217285
1996.0,47.4569816589355
1997.0,48.366039276123
1998.0,49.7607688903809
1999.0,51.0706596374512
2000.0,52.5659484863281
2001.0,53.6228294372559
2002.0,55.0267295837402
2003.0,57.3563194274902
2004.0,58.6421699523926
2005.0,58.5361099243164
2006.0,58.4111213684082
2007.0,58.8275299072266
2008.0,60.171199798584
2009.0,58.6872901916504
2010.0,59.965690612793
2011.0,62.1620483398438
2012.0,65.9744186401367
2013.0,65.0896377563477
2014.0,66.8572692871094
2015.0,65.4785995483398
2016.0,67.2776184082031
2017.0,68.580451965332
2018.0,65.467399597168
2019.0,65.8019485473633
2020.0,66.3212966918945